104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:715
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:715
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:151
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:129
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:66
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:66
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:368
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:203
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:97
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:1454
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:1454
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:1454
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:1454
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:1454
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:564
142.250.202.170:443 -> 192.168.100.145:55168 | UDP | Length:124
192.168.100.145:55168 -> 142.250.202.170:443 | UDP | Length:74
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:1090
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:1090
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:907
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:148
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
192.168.100.145:41208 -> 142.250.202.35:443 | TCP | Length:160
142.250.202.35:443 -> 192.168.100.145:41208 | TCP | Length:66
142.250.202.35:443 -> 192.168.100.145:41208 | TCP | Length:175
142.250.202.35:443 -> 192.168.100.145:41208 | TCP | Length:140
142.250.202.35:443 -> 192.168.100.145:41208 | TCP | Length:105
192.168.100.145:41208 -> 142.250.202.35:443 | TCP | Length:66
192.168.100.145:41208 -> 142.250.202.35:443 | TCP | Length:105
142.250.202.35:443 -> 192.168.100.145:41208 | TCP | Length:66
169.150.215.50:443 -> 192.168.100.145:55832 | TCP | Length:66
192.168.100.145:55832 -> 169.150.215.50:443 | TCP | Length:66
192.168.100.145:55832 -> 169.150.215.50:443 | TCP | Length:66
169.150.215.50:443 -> 192.168.100.145:55832 | TCP | Length:66
3.105.55.173:443 -> 192.168.100.145:46260 | TCP | Length:97
192.168.100.145:46260 -> 3.105.55.173:443 | TCP | Length:101
3.105.55.173:443 -> 192.168.100.145:46260 | TCP | Length:66
192.168.100.145:52316 -> 142.250.186.234:443 | TCP | Length:105
142.250.186.234:443 -> 192.168.100.145:52316 | TCP | Length:105
142.250.186.234:443 -> 192.168.100.145:52316 | TCP | Length:66
192.168.100.145:52316 -> 142.250.186.234:443 | TCP | Length:66
192.168.100.145:48280 -> 34.107.243.93:443 | TCP | Length:105
192.168.100.145:48280 -> 34.107.243.93:443 | TCP | Length:90
34.107.243.93:443 -> 192.168.100.145:48280 | TCP | Length:66
34.107.243.93:443 -> 192.168.100.145:48280 | TCP | Length:66
192.168.100.145:48280 -> 34.107.243.93:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:151
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:129
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:66
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:66
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:358
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:203
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:97
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
172.64.148.235:443 -> 192.168.100.145:33244 | TCP | Length:90
192.168.100.145:33244 -> 172.64.148.235:443 | TCP | Length:94
172.64.148.235:443 -> 192.168.100.145:33244 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:105
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:715
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:715
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:105
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
192.168.100.145:34656 -> 199.232.81.91:443 | TCP | Length:112
192.168.100.145:34656 -> 199.232.81.91:443 | TCP | Length:97
57.144.149.32:443 -> 192.168.100.145:52946 | TCP | Length:196
192.168.100.145:52946 -> 57.144.149.32:443 | TCP | Length:66
199.232.81.91:443 -> 192.168.100.145:34656 | TCP | Length:66
199.232.81.91:443 -> 192.168.100.145:34656 | TCP | Length:66
199.232.81.91:443 -> 192.168.100.145:34656 | TCP | Length:97
199.232.81.91:443 -> 192.168.100.145:34656 | TCP | Length:66
192.168.100.145:34656 -> 199.232.81.91:443 | TCP | Length:54
192.168.100.145:34656 -> 199.232.81.91:443 | TCP | Length:54
192.168.100.145:52946 -> 57.144.149.32:443 | TCP | Length:139
57.144.149.32:443 -> 192.168.100.145:52946 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:151
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:129
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:66
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:66
192.168.100.145:41556 -> 142.250.202.170:443 | TCP | Length:105
142.250.202.170:443 -> 192.168.100.145:41556 | TCP | Length:105
142.250.202.170:443 -> 192.168.100.145:41556 | TCP | Length:66
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:359
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:203
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:97
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:41556 -> 142.250.202.170:443 | TCP | Length:66
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:1454
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:1454
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:773
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:1454
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:459
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:66
169.150.215.50:443 -> 192.168.100.145:55832 | TCP | Length:66
192.168.100.145:55832 -> 169.150.215.50:443 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:2114
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:937
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:651
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
192.168.100.145:55832 -> 169.150.215.50:443 | TCP | Length:66
169.150.215.50:443 -> 192.168.100.145:55832 | TCP | Length:66
192.168.100.36:5353 -> 224.0.0.251:5353 | UDP | Length:152
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:715
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:151
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:129
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:66
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:66
104.18.41.41:443 -> 192.168.100.145:53172 | TCP | Length:715
192.168.100.145:53172 -> 104.18.41.41:443 | TCP | Length:66
192.168.100.36:5353 -> 224.0.0.251:5353 | UDP | Length:152
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:358
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:203
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:97
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:55168 -> 142.250.202.170:443 | UDP | Length:71
142.250.202.170:443 -> 192.168.100.145:55168 | UDP | Length:70
3.105.55.173:443 -> 192.168.100.145:46260 | TCP | Length:97
192.168.100.145:46260 -> 3.105.55.173:443 | TCP | Length:101
3.105.55.173:443 -> 192.168.100.145:46260 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:151
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:129
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:66
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:66
192.168.100.145:52946 -> 57.144.149.32:443 | TCP | Length:134
57.144.149.32:443 -> 192.168.100.145:52946 | TCP | Length:66
192.168.100.145:40860 -> 142.251.127.84:443 | TCP | Length:105
57.144.149.32:443 -> 192.168.100.145:52946 | TCP | Length:136
192.168.100.145:52946 -> 57.144.149.32:443 | TCP | Length:66
142.251.127.84:443 -> 192.168.100.145:40860 | TCP | Length:66
142.251.127.84:443 -> 192.168.100.145:40860 | TCP | Length:105
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:414
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:203
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:97
104.26.10.202:443 -> 192.168.100.145:53634 | TCP | Length:97
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:66
192.168.100.145:53634 -> 104.26.10.202:443 | TCP | Length:78
192.168.100.145:40860 -> 142.251.127.84:443 | TCP | Length:66
